instance_name,objective_value
f25-c50-s64-r10-1,38467.18681141207
f25-c50-s64-r10-2,36277.43802124939
f25-c50-s64-r10-3,39861.02618789742
f25-c50-s64-r10-4,34899.28553552462
f25-c50-s64-r10-5,47336.365941480464
